,fish_name,fish_scientific,fish_status,fish_appearence,fish_habitat,fish_behavior,fish_additional
0,American Eel,Anguilla rostrata,Native,"The American Eel is also known as the pencil eel, yellow eel, black eel, silver eel, Boston eel, Atlantic eel or common eel. The body is extremely elongated (snakelike), with a very long dorsal fin that is confluent with the anal fin.  Pelvic fins are absent and tiny scales are embedded in the skin giving eels a smooth feel.  The adult color is a yellow-brown with pale underbelly. It is a distinct species with no known subspecies.  Similar species exist around Japan, Australia and Europe. This is a gourmet fish in the Asian markets and is often used in Sushi.  It tends to be bony by American standards but is good smoked.",American eels are found in waters with coastal access along the Atlantic seaboard of the US. Eels are primarily riverine but access ponds and lakes.  They orient to structure and flow.,"Spawning is still not well understood but fascinating.  The adults migrate to the ocean during autumn.  During the long trek the fish metamorphose into a ""silver eel"" stage and stop eating.  The fish head to a location near the Sargasso Sea where they spawn en masse and apparently die.  The eggs hatch into leaf-shaped floating leptocephalus larvae that drift with the currents.  When they come within range of a freshwater river, the leptocephalus metamorphoses again into a tiny semi-transparent ""glass eel"".  The glass eel then changes again into a pigmented pencil eel and continues its migration upstream to find a habitat to mature and await it's time to go spawn.  This process of spawning in the ocean and maturing inland is termed catadromy (the fish are catadromous). American eels are opportunistic feeders, which means they eat whatever food is available to them. They are considered carnivorous and eat a variety of food, including fish, frogs, insects and dead organisms. American eels are known to live as long as 43 years, but generally migrate to spawn and die long before then.",State Record:  Approximately 60-inch long male weighing about 16 pounds.
1,American Shad,Alosa sapidissima,Native,Green or greenish blue with metallic luster on back and silvery sides. The chest and abdomen have bony scutes. They typically have several spots along their side.,"In Florida, it occurs only in the northeast, mostly in the St. Johns River and Nassau River when it returns from the ocean to spawn, typically between late December and early April.","Plankton feeders, but strike small bright spoons and flies. They are anadromous, meaning they mature in salt water, but return to fresh water rivers to spawn.",State Record:  5.19 lbs. Big Catch minimum: 18 inches or 3 lbs.
2,Arapaima,Arapaima gigas,Nonnative, , , , 
3,Atlantic Sturgeon,Acipenser oxyrinchus oxyrinchus,Native,"The Atlantic sturgeon is one of seven species of sturgeons found in North America.  Sturgeons are prehistoric species that date back to the time of dinosaurs.  Sturgeons have physical features that separate them from other kinds of fish such as: a spiral valve stomach and cartilaginous skeleton (like sharks and rays), but they have scutes (hard, protective, large individual body plates) instead of shark’s denticles or bony-fish’s scales.  The Atlantic sturgeon has barbels located on the underside of the snout, no teeth, rubbery lips, and a suctorial mouth for vacuuming food off the water bottom.  The Atlantic sturgeon's coloring typically is dark brown along the upper (dorsal) side, shading to a creamy white-colored belly (ASSRT 2007).  The Atlantic sturgeon is a large fish that can reach a length of 14 feet (4.3 meters), a weight of over 800 pounds (363 kilograms), and possess strength to leap nine feet (2.7 meters) into the air.","The Atlantic sturgeon inhabits both salt and fresh water habitats, cycling between the two.  Some migrate into brackish and saltwater during the fall and feed there throughout the winter months, and migrate into fresh water rivers during the spring and hold there through the summer months, while others remain at sea for years.  This species of sturgeon can be found from Labrador, Canada, south to the St. Johns River in Florida (ASSRT 2007).","Sturgeons are benthic feeders, which means they feed on organisms located in or on the bottom of waterways.  Their diet primarily consists of crabs, grass shrimp, lancets, brachiopods, and marine worms.  Atlantic sturgeons typically gorge themselves during the fall-to-spring period when they are in brackish and salt water, and appear to fast during the spring-to-fall period when they are in fresh water.  They are popular in the food industry as a source of caviar.", 
4,Black Acara, ,Invasive,"Small, stout, convex-headed, bream-looking body-shape with two black blotches on side, the larger blotch at mid-body and a smaller one near base of tail; color variable with gray-blue-silver-brown base, sometimes with light blue-green sheen.","Most common in shallow, stagnant, roadside ditches or similarly disturbed habitats that normally contain few other fishes; infrequent in larger canals and lakes; early success of this fish in Florida led to an erroneous conclusion that it would have significant negative effects on native fishes.","Spawning Habitats: Both parents guard the young; nearly all sexually mature by four inches; spawns throughout the year laying an average of about 1,000 eggs.",
5,Black Crappie,Pomoxis nigromaculatus,Native,A deep body with nearly symmetrical dorsal and anal fins and a speckled pattern on the body and fins identify the black crappie.,"Unlike most other panfish, crappie spend much of their time offshore feeding on small fish in lakes or in large slow-moving clear water rivers.","They nest in colonies from February to April. Nests are fanned by males over gravel or muddy bottoms in depths of 3-8 feet, with big fish deeper. Primary food items are crustaceans, aquatic insects and small fishes.",State Record:  3.83 lbs. Big Catch minimum: 14 inches or 2.0 lbs.
6,Blackmouth shiner,Notropis melanostomus,Native,"The blackmouth shiner is a smaller member of the Notropis genus that can reach a body length of only 1.5 inches (3.8 centimeters).  This species is gray with large black eyes, a black abdominal area, and a black stripe that runs along the midsection of its sides (Florida Natural Areas Inventory 2001).","The blackmouth shiner inhabits the backwaters of rivers and streams off the main channel (Florida Natural Areas Inventory 2001; Bortone 1993).  This species may be found in the Yellow, Shoal, and Blackwater River, and Pond Creek in Florida; Bay Minnette Creek in Alabama; and the Pascagoula, Lower Black Creek, and Chickasawhay River  in Mississippi. (Bass et al., 2004; Bortone 1993; O’Connell et al., 1998; O’Connell et al., 2005; Suttkus and Bailey, 1990).  Blackmouth shiners have been collected along shoreline areas associated with pond cypress, Atlantic white cedar, sweet gum and various pine species (Bortone 1993).","The diet of the blackmouth shiner primarily consists of a variety of algae, phytoplankton, zooplankton, rotifers, and small crustaceans (Bortone, 1993).", 
7,Blue Catfish,Ictalurus furcatus,Nonnative,"Adults have stout bodies with prominently humped backs in front of the dorsal fin. They resemble channel catfish by having deeply forked tails, but are lack the spots and have a longer, straight-edged anal. The back and upper sides are blue to slate gray, and the belly is white.","Originally found in the Escambia and Yellow rivers in northwest Florida, they are now also in the Apalachicola and Suwannee. Blues occur in big rivers and in the lower reaches of major tributaries. They prefer clearer, swifter water than other catfish, and are usually found over sand, gravel or rock bottoms.","Young blues eat aquatic insects and small fish while larger blues prefer crayfish, mussels and other fish.",State Record:  69.5 pounds.
8,Blue Tilapia, ,Invasive,"Young nondescript gray with a black spot at rear of dorsal fin; adults generally blue-gray shading to white on the belly; borders of dorsal and caudal fins with red to pink borders; broken lateral line and the spiny dorsal fin is joined to the soft dorsal fin. In central Florida, anglers can assume every tilapia they observe in fresh water is a blue, and any tilapia over 3 pounds is also likely a blue tilapia.","Widespread and abundant in Florida; found in fertile lakes, ponds, rivers, streams, and canals. It is tolerant of saltwater and found in some near shore marine habitats, such as Tampa Bay.","Spawning Habits: Spawning occurs when the water temperature exceeds 68oF. Males dig large circular nests with their mouths in shallow water over a sandy bottom. The male swims out to a passing female and leads her to the nest where courtship occurs; female lays eggs and immediately takes into mouth after male fertilizes, after which she swims off, possibly to mate with another male. The males continue to guard nests and may spawn again with another female. Eggs hatch in female's mouth, and fry occasionally released to feed, but whenever threatened they return to the female's mouth until they are about three weeks old. This type of parental care is called mouth-brooding.",State record: 9.57 pounds.
9,Bluegill,Lepomis macrochirus,Native,"Bluegill have the deep-bodied look of ""bream,"" with a long dorsal fin and slightly forked tail. A dark ear covering and a blotch at the dorsal fin's back bottom edge set them apart.",Bluegill are common throughout Florida but are best known in lakes and ponds.,"Bluegill eat mostly insects and their larvae. Bluegill spawn throughout summer, congregating in large ""beds"". Anglers may find 30-40 shallow nests scooped out in sandy areas.",State Record:  2.95 lbs.
